month_start,value
2005-07-01,3597.0
2005-08-01,3601.0
2005-09-01,3645.0
2005-10-01,3640.0
2005-11-01,3635.0
2005-12-01,3656.0
2006-01-01,3668.0
2006-02-01,3679.0
2006-03-01,3674.0
2006-04-01,3650.0
2006-05-01,3609.0
2006-06-01,3627.0
2006-07-01,3637.0
2006-08-01,3638.0
2006-09-01,3680.0
2006-10-01,3653.0
2006-11-01,3669.0
2006-12-01,3659.0
2007-01-01,3676.0
2007-02-01,3695.0
2007-03-01,3681.0
2007-04-01,3653.0
2007-05-01,3630.0
2007-06-01,3641.0
2007-07-01,3670.0
2007-08-01,3673.0
2007-09-01,3740.0
2007-10-01,3702.0
2007-11-01,3706.0
2007-12-01,3696.0
2008-01-01,3703.0
2008-02-01,3704.0
2008-03-01,3706.0
2008-04-01,3679.0
2008-05-01,3654.0
2008-06-01,3658.0
2008-07-01,3686.0
2008-08-01,3678.0
2008-09-01,3761.0
2008-10-01,3692.0
2008-11-01,3690.0
2008-12-01,3657.0
2009-01-01,3616.0
2009-02-01,3622.0
2009-03-01,3625.0
2009-04-01,3573.0
2009-05-01,3556.0
2009-06-01,3565.0
2009-07-01,3620.0
2009-08-01,3620.0
2009-09-01,3716.0
2009-10-01,3655.0
2009-11-01,3711.0
2009-12-01,3712.0
2010-01-01,3693.0
2010-02-01,3740.0
2010-03-01,3754.0
2010-04-01,3721.0
2010-05-01,3714.0
2010-06-01,3740.0
2010-07-01,3759.0
2010-08-01,3757.0
2010-09-01,3842.0
2010-10-01,3762.0
2010-11-01,3819.0
2010-12-01,3796.0
2011-01-01,3797.0
2011-02-01,3835.0
2011-03-01,3851.0
2011-04-01,3781.0
2011-05-01,3767.0
2011-06-01,3803.0
2011-07-01,3824.0
2011-08-01,3800.0
2011-09-01,3883.0
2011-10-01,3798.0
2011-11-01,3845.0
2011-12-01,3809.0
2012-01-01,3800.0
2012-02-01,3832.0
2012-03-01,3849.0
2012-04-01,3772.0
2012-05-01,3774.0
2012-06-01,3810.0
2012-07-01,3829.0
2012-08-01,3808.0
2012-09-01,3884.0
2012-10-01,3813.0
2012-11-01,3861.0
2012-12-01,3841.0
2013-01-01,3809.0
2013-02-01,3848.0
2013-03-01,3860.0
2013-04-01,3796.0
2013-05-01,3798.0
2013-06-01,3829.0
2013-07-01,3850.0
2013-08-01,3850.0
2013-09-01,3938.0
2013-10-01,3876.0
2013-11-01,3924.0
2013-12-01,3917.0
2014-01-01,3865.0
2014-02-01,3930.0
2014-03-01,3911.0
2014-04-01,3839.0
2014-05-01,3831.0
2014-06-01,3876.0
2014-07-01,3895.0
2014-08-01,3884.0
2014-09-01,3975.0
2014-10-01,3925.0
2014-11-01,3973.0
2014-12-01,3948.0
2015-01-01,3882.0
2015-02-01,3966.0
2015-03-01,3923.0
